0-cheese,Chess_QiSi_yellow
BingQiLin5,Chess_BingQiLin_purple
BingRen,Chess_BingRen_blue
BingRen2,Chess_BingRen_green
bread,Chess_MianBao_brown
bunny1,Chess_TuZI_brown
ChaHu,Chess_ChaHu_green
ChangJingLu,Chess_ChangJingLu_yellow
ChangPianJi,Chess_ChangPianJi_brown
ChongLangBan,Chess_ChongLangBan_brown
ChongLangBan2,Chess_ChongLangBan_blue
ChongLangBan3,Chess_ChongLangBa_purple
coffeePot,Chess_kafeidian_yellow
cube28,Chess_MoFang_colorful
cube39,Chess_hangtianfeiji_white
CupCake_Pink,Chess_kafeibei_Pink
cylinder34,Chess_fanchuan_blue
cylinder48,Chess_shaokaojia_brown
cylinder49,Chess_bangqiubang_brown
d12,Chess_caidan1_colorful
d19,Chess_caidan2_colorful
d20,Chess_caidan3_colorful
d21,Chess_caidan4_colorful
d22,Chess_caidan5_colorful
d29,Chess_caidan6_colorful
d32,Chess_caidan7_colorful
d34,Chess_caidan8_colorful
d43,Chess_caidan9_colorful
d44,Chess_caidan10_colorful
d45,Chess_caidan11_colorful
d46,Chess_caidan12_colorful
d5,Chess_caidan13_colorful
d8,Chess_caidan14_colorful
darts,Chess_FeiBiaoPan_black
DengZi,Chess_DengZi_yellow
DengZi4,Chess_DengZi_blue
DengZi5,Chess_DengZi_red
DiQiuYi,Chess_DiQiuYi_Brown
doll1,Chess_wanou_white
doll2,Chess_wanou_pink
eggplant,Chess_qiezi_purple
ELi,Chess_Eli_green
football,Chess_ZuQiu_white
frenchBread,Chess_FaGun_brown
frenchFries,Chess_ShuTiao_red
Gingerbread man,Chess_JiangBingRen_brown
globe,Chess_DiQiu_blue
Gou,Chess_Gou_blue
GouWuLan,Chess_GouWuLan_blue
GouWuLan1,Chess_GouWuLan_pink
GuanTou,Chess_GuanTou_green
guitar,Chess_Guitar_pink
GuoQi,Chess_GuoQi_yellow
hambugerA,Chess_HanBao_brown
Harp_Brown,Chess_ShuQin_brown
heart,Chess_Xin_red
HongJiu,Chess_HongJiu_black
hotdog,Chess_ReGou_red
HuangSeBangBangTang,Chess_BangBangTang_yellow
HuLaQuan1,Chess_HuLaQuan_red
HuLaQuan3,Chess_HuLaQuan_blue
HulaQuan5,Chess_HuLaQuan_purple
HuLi,Chess_HuLi_orange
iceCreamBowlE,Chess_Bingqilinqiu_brown
iceCreamBowlF,Chess_Bingqilinqiu_green
iceCreamBowlG,Chess_Bingqilinqiu_red
iceCreamBowlH,Chess_Bingqilinqiu_white
JuanXinCai,Chess_JuanXinCai_green
